LAST NAME,EMAIL ADDRESS,PHONE NUMBER,CITY,STATE,GET,GET2,GET3,GET4,GET5,GET6,GET7
日期,（实际）当日收到捐款,（实际）当日捐款人次,（实际）累计收到捐款,应当剩余,（公示）当日收到捐款,（公示）捐款人次,（公示）累计收到捐款,（公示）累计收到捐款（美元）,（公示）当日发放捐款,累计发放捐款,实际与公示之差
1.24,0,0,0.00 ,0,0,11578,13786152.90 ,0,0,0,-13786152.9
1.25,210783.19,1207,210783.19 ,0,0,16638,19206664.41 ,0,0,0,-18995881.22
1.26,5257374.63,55894,5468157.82 ,0,0,13896,50837618.70 ,0,0,0,-45369460.88
1.27,3156996.54,31902,8625154.36 ,0,0,8015,53403774.88 ,0,0,0,-44778620.52
1.28,389083593,58148,397708747.34 ,343794147.3,0,3876,80266415.44 ,0,53914600,53914600,317442331.9
1.29,84208421.85,17603,481917169.19 ,428002569.2,0,0,85501100.00 ,0,0,53914600,396416069.2
1.3,134937252.3,8285,616854421.47 ,458261921.5,134690500,0,379055000.00 ,0,104677900,158592500,237799421.5
1.31,84680824.52,6501,701535245.99 ,339790346,80622600,0,699531100.00 ,0,203152400,361744900,2004145.99
2.1,19090783.05,4053,720626029.04 ,358881129,19458100,0,718989200.00 ,0,0,361744900,1636829.04
2.2,145133018.9,2358,865759047.96 ,498914148,144959800,875,863949000.00 ,33133,5100000,366844900,1810047.96
2.3,56228308.58,692,921987356.54 ,369892456.5,56259300,802,920440600.00 ,33133,185250000,552094900,1546756.54
2.4,62809749.27,791,984797105.81 ,432702205.8,63073400,792,983514000.00 ,33133,0,552094900,1283105.81
2.5,29334876.44,935,1014131982.25 ,462037082.3,29448800,935,1012962800.00 ,33133,0,552094900,1169182.25
2.6,15628011.24,354,1029759993.49 ,477665093.5,14933000,355,1027895800.00 ,33133,0,552094900,1864193.49
2.7,27171733.55,3817,1056931727.04 ,504836827,27310400,2818,1055206200.00 ,33133,0,552094900,1725527.04
2.8,24618941.05,3966,1081550668.09 ,529455768.1,24608400,3011,1079814600.00 ,33133,0,552094900,1736068.09
2.9,17014640.28,2317,1098565308.37 ,248172708.4,17089400,2318,1096904000.00 ,33133,298297700,850392600,1661308.37
2.1,12222090.55,2328,1110787398.92 ,260394798.9,12347500,2329,1109251500.00 ,33133,0,850392600,1535898.92
2.11,,,,,,,,,,,
